iter	Logloss
0	0.663270874
1	0.632472585
2	0.6027789815
3	0.5783535767
4	0.552525533
5	0.5327244059
6	0.5098946126
7	0.4902500916
8	0.4721633403
9	0.4586398315
10	0.4443773905
11	0.4240348816
12	0.4089977519
13	0.3949442037
14	0.3762979635
15	0.3636454264
16	0.3488814545
17	0.3385305532
18	0.3253566996
19	0.3162841797
20	0.3076722209
21	0.3006378174
22	0.2916637929
23	0.2830756887
24	0.2738820903
25	0.2665515137
26	0.2598141479
27	0.2525327555
28	0.247411499
29	0.2426581319
30	0.2359681702
31	0.2328988139
32	0.227649765
33	0.2225816345
34	0.2187985738
35	0.2141138713
36	0.2102674611
37	0.2057286199
38	0.2026150767
39	0.1996868769
40	0.1962630208
41	0.1914942805
42	0.188176473
43	0.1853415171
44	0.1822136561
45	0.1795059458
46	0.1767934418
47	0.1743753052
48	0.1717047501
49	0.1687082545
50	0.165788854
51	0.1635283661
52	0.16108284
53	0.1588356272
54	0.1557978566
55	0.1531563187
56	0.1507855606
57	0.1484004466
58	0.1468758647
59	0.1450052389
60	0.1434937032
61	0.1418955612
62	0.1397505951
63	0.1378100586
64	0.1361699422
65	0.1348785273
66	0.1338146083
67	0.1320829137
68	0.1302888234
69	0.1290099843
70	0.127704099
71	0.1261371867
72	0.1249053446
73	0.1240923691
74	0.122787501
75	0.122060496
76	0.121157252
77	0.119577268
78	0.1185318756
79	0.117393748
80	0.1157072703
81	0.1149177806
82	0.1140341949
83	0.1128874969
84	0.1114369075
85	0.1103090413
86	0.1094326401
87	0.1084754435
88	0.1075353877
89	0.1065461286
90	0.1056740061
91	0.104739755
92	0.1039108467
93	0.1032926178
94	0.1022608566
95	0.1013894526
96	0.100190684
97	0.09901357015
98	0.09797047297
99	0.09709884008
100	0.09641281764
101	0.09588329951
102	0.09504721324
103	0.09396319071
104	0.09300401052
105	0.09227272669
106	0.09182071686
107	0.09139508565
108	0.09073326747
109	0.08996806463
110	0.08935874939
111	0.08813686371
112	0.08757404327
113	0.08697631836
114	0.08631870906
115	0.08563788096
116	0.08525508881
117	0.08437779744
118	0.08372108459
119	0.08317801793
120	0.08269458135
121	0.08193002065
122	0.08152792613
123	0.081039505
124	0.08052031199
125	0.07999556224
126	0.07943459829
127	0.07898109436
128	0.07828481674
129	0.0777753067
130	0.07717189789
131	0.07671474457
132	0.07611591339
133	0.07571231842
134	0.07522289912
135	0.07466890971
136	0.07417978923
137	0.07383392334
138	0.07333408356
139	0.07283432643
140	0.07245370865
141	0.07206523895
142	0.0718289566
143	0.07143339157
144	0.0711278979
145	0.07078378042
146	0.07052789688
147	0.07016815821
148	0.06974666595
149	0.06943674723
150	0.06921736399
151	0.06856024424
152	0.06824059168
153	0.06795895894
154	0.06778183619
155	0.06744452159
156	0.06701089223
157	0.06665060679
158	0.06645195643
159	0.06616359711
160	0.06578907649
161	0.06538609187
162	0.06510036469
163	0.06481108983
164	0.06455584208
165	0.06420889537
166	0.06389375051
167	0.0637727801
168	0.06348271688
169	0.06306350708
170	0.06280752818
171	0.06249398549
172	0.0619740804
173	0.06154310862
174	0.0611707751
175	0.06093630473
176	0.06067668915
177	0.06048748016
178	0.06014347076
179	0.05989603678
180	0.05953819911
181	0.05922125498
182	0.05897460302
183	0.05855888367
184	0.05825589498
185	0.05793435415
186	0.05776449839
187	0.0574006017
188	0.05706027985
189	0.05691476822
190	0.05667015711
191	0.05637886047
192	0.05614831924
193	0.05593564351
194	0.05582434336
195	0.05564460754
196	0.05538010915
197	0.05501516978
198	0.05489594777
199	0.05470809301
