id,age,income,score,category,region,active,joined,notes
0,88,18227.248801224054,74.57075619631647,C,West,true,2021-07-12,great
1,19,5299.721303695523,54.40023840639257,B,South,true,2021-07-26,bad
2,71,11584.322176523534,81.25676793709685,A,East,false,2024-07-15,great
3,89,34233.27430528628,84.1084707458682,A,North,false,2023-05-18,great
4,73,30224.474379942356,40.734472170192454,A,East,true,2020-06-23,bad
5,34,6287.717459485921,50.46730739706523,B,East,false,2024-10-23,poor
6,72,12339.07067274915,71.91760604750928,C,South,true,2023-07-24,poor
7,25,13830.380274623074,65.25636111484627,D,East,true,2020-04-01,poor
8,52,16442.493415324545,69.74798263743567,A,East,true,2023-08-22,bad
9,63,7326.616770985582,57.2043410863963,D,South,false,2022-12-13,great
10,50,13323.74570310558,83.19096962294243,C,North,true,2024-07-30,good
11,68,12297.012329223478,81.66687903143422,A,North,true,2022-06-13,good
12,35,40832.21400536315,70.99046046341824,B,West,true,2022-08-05,poor
13,61,42078.7040140532,86.90861810452049,B,South,true,2021-07-28,good
14,64,19601.30909459827,77.01264013378068,D,South,false,2021-08-10,poor
15,63,16096.677501400023,57.110613056751426,D,East,true,2023-02-02,ok
16,38,24635.393538725548,75.53126176123749,D,South,true,2024-02-21,bad
17,39,11461.39733154987,55.616760987565016,C,South,false,2024-06-15,good
18,36,8800.24054072522,83.17675451960909,B,East,false,2023-11-09,great
19,51,10381.939955588548,NaN,B,East,true,2023-01-19,great
20,60,13255.25648805316,67.2270645468211,D,East,false,2022-07-03,ok
21,44,8683.856100087187,59.786056833940876,A,North,false,2021-09-12,poor
22,47,25075.527443632818,88.33812008011046,B,South,false,2023-11-03,bad
23,38,39488.806817656514,67.68205776896797,A,South,false,2021-08-04,ok
24,33,6187.7162722772055,63.57508266755339,B,East,false,2021-05-04,bad
25,65,22473.743899104105,64.71799674267656,B,North,true,2024-05-04,ok
26,76,18472.73913035326,77.98463778330023,A,North,true,2022-12-13,good
27,38,28946.568627521447,75.48166096546117,B,West,true,2021-10-09,ok
28,79,21799.645463813868,76.19098917393983,D,East,true,2024-04-29,ok
29,59,6885.138836680821,76.46231504511825,C,West,false,2024-10-24,ok
30,30,8023.167402930028,102.12471401305692,D,South,true,2021-08-03,ok
31,44,22551.09405190186,63.90377475423077,D,West,true,2022-08-10,great
32,18,50162.5863408345,62.31635906392694,D,South,false,2022-06-02,ok
33,20,3746.772580383303,57.79340907628183,B,East,false,2023-07-05,bad
34,42,29044.408458551814,79.23969133863244,D,North,false,2024-10-03,bad
35,50,57050.81290781239,86.93458439081337,D,West,true,2022-09-29,great
36,75,19488.48971085596,68.29078813517687,D,South,true,2023-12-29,poor
37,27,34206.193283653316,57.39765284556208,B,West,false,2022-12-24,great
38,78,12550.86335325395,57.6327817646314,A,South,true,2024-06-08,great
39,34,20020.40015793905,79.75889181737051,C,West,true,2022-01-09,poor
40,27,6022.568963226009,81.14881256805164,D,South,false,2021-12-04,poor
41,68,3376.265018127102,78.14731402457792,D,North,true,2022-02-10,ok
42,73,46826.878360174596,60.01735439066958,C,North,false,2024-12-25,good
43,61,10016.650705373504,73.4824198460008,A,East,true,2023-01-22,great
44,26,15299.535141297962,71.75028713711092,B,North,false,2020-10-05,great
45,26,7265.164346180658,73.2803289509352,C,South,false,2020-03-15,bad
46,46,7129.698579379555,83.07143166922285,C,East,false,2022-08-05,poor
47,50,19166.70311800167,73.35393323162023,B,South,true,2024-01-12,poor
48,89,12287.505900902013,80.18370344607843,B,North,false,2022-05-25,bad
49,38,29803.371342576935,71.01368604233338,A,East,false,2022-10-20,ok
50,31,31635.359173259993,74.33679098034976,B,East,false,2023-12-29,good
51,86,28472.093669322978,79.4693233875781,C,East,true,2022-08-01,good
52,29,26658.96132024218,48.142662702165005,A,West,true,2024-07-18,bad
53,19,77824.73295453153,65.20493175464048,D,North,true,2023-03-11,bad
54,48,9376.154451625996,62.944410185608064,A,South,true,2023-08-28,bad
55,46,21079.41196858208,60.41683227634987,C,North,false,2023-11-28,good
56,62,54510.67627473385,65.87286623159974,B,West,false,2023-02-19,ok
57,81,60574.65483165237,92.42411966851594,D,East,false,2020-04-01,great
58,85,7062.745108807599,57.01253326460135,D,North,false,2022-02-19,bad
59,38,17156.21275353626,84.52417531887221,C,East,false,2020-09-15,ok
60,88,65283.64840895234,44.75695342576293,C,North,true,2022-07-21,bad
61,63,33072.69459329931,64.97672455021338,C,South,true,2020-09-18,great
62,23,25750.5283720382,72.44129597657508,C,East,false,2022-07-19,great
63,85,18506.03631701133,78.79333497038917,A,East,true,2021-09-20,poor
64,27,16203.122659974213,80.66839869689282,B,West,true,2020-02-07,good
65,60,27738.462042814528,81.90020852799887,A,East,false,2020-08-16,poor
66,74,17999.52594265664,64.76912391627343,B,West,false,2022-07-08,bad
67,35,21288.815143917334,63.064723110031494,C,East,true,2020-05-24,good
68,37,23455.938081065517,82.8696382188573,A,North,true,2024-04-12,great
69,52,12804.382539496542,67.13043512677578,A,North,true,2023-10-18,good
70,81,33715.181317615585,50.86470514993117,D,West,false,2023-07-19,good
71,34,226702.92042187427,53.000691789947794,B,North,false,2020-11-10,poor
72,65,5315.65058392503,56.20821570997583,A,South,false,2023-12-24,bad
73,50,28544.227895413616,77.45741116080646,C,North,false,2023-03-05,ok
74,26,11990.235978511098,72.13638604105847,C,South,true,2021-12-14,bad
75,69,34958.67966425088,80.35728031101652,D,East,false,2020-01-01,good
76,77,22862.33278344445,63.591210304951986,D,North,true,2022-08-24,good
77,59,40517.27961383033,72.37809536615072,D,South,true,2023-12-25,good
78,30,56410.199379974416,79.38385590951005,C,West,false,2020-03-02,ok
79,29,25692.05024940982,65.35980190419642,B,North,false,2020-04-06,ok
80,48,54482.881518385984,76.85162856336117,D,North,true,2021-11-30,good
81,54,3376.387685817246,60.071110884000234,B,South,true,2022-07-23,bad
82,57,78618.4621572854,64.55419230152393,B,West,true,2022-05-16,bad
83,35,29734.097240465693,64.27393159002506,D,South,false,2022-02-17,ok
84,54,52170.61501382842,52.0624053161644,D,East,false,2021-04-11,poor
85,39,8300.735498425282,77.30458721178373,B,North,true,2020-04-19,great
86,67,11331.979985046331,62.958964896959145,C,East,true,2020-02-27,poor
87,75,24754.204573244508,70.18741178091531,D,North,true,2020-06-29,good
88,64,21728.275038493408,NaN,D,East,true,2023-06-15,bad
89,18,27624.404179042253,76.69796764044916,A,North,true,2023-12-06,great
90,89,52449.81720784786,79.98077663459179,C,West,true,2022-03-05,bad
91,19,5365.923356746722,68.52271773235864,A,South,true,2020-05-21,poor
92,89,48004.75067430063,63.650525319337696,D,North,false,2022-01-29,ok
93,20,22172.887284136912,68.80422683640401,A,South,false,2024-12-05,bad
94,55,18713.014270961652,44.68998349062955,D,North,true,2021-04-01,poor
95,25,6789.33184214476,48.29331291365369,A,North,false,2022-06-16,ok
96,24,32939.865966419886,50.15950581468397,B,East,true,2022-09-09,poor
97,67,3192.9921019977864,55.04129758597777,A,South,false,2021-08-25,ok
98,70,37001.55467515198,75.99661340085154,D,South,true,2022-03-11,good
99,26,6676.274034327126,56.41781416959909,B,West,false,2022-05-11,great
100,88,22988.889893424366,64.32756168940915,C,North,true,2022-05-15,good
101,41,20023.56141965281,89.48842446679097,A,South,false,2023-08-04,great
102,40,56141.49715694876,64.6560404340786,B,North,true,2022-11-27,ok
103,39,19092.977280783572,81.0627335270063,D,South,false,2020-04-07,great
104,51,12640.85301873828,55.995734799851846,D,South,true,2020-01-12,poor
105,30,14686.997289796022,66.91843663198554,A,North,false,2022-01-20,ok
106,48,60980.30456302194,55.749669176341285,B,North,true,2024-07-16,poor
107,33,33827.77790105345,64.91450386149157,B,West,false,2020-03-08,good
108,21,16179.430865064187,82.60462206186094,C,North,true,2020-05-09,good
109,44,18230.34630685333,44.09019365211477,C,West,false,2023-05-26,poor
110,66,6287.1197002666195,76.51635465318786,A,West,false,2022-04-03,ok
111,72,30054.851084094465,73.56603403498417,D,South,false,2021-02-25,ok
112,43,5389.174153253644,61.08775066454808,A,South,true,2021-01-13,good
113,41,40192.559590700715,48.30913218417318,B,West,true,2023-04-29,bad
114,74,24413.640061271737,71.08194261570804,D,West,true,2022-08-14,great
115,67,148681.45933822697,62.05760936404296,C,North,false,2023-03-12,poor
116,77,9135.210913218967,73.49014317032056,B,West,false,2021-05-26,poor
117,83,20289.734088055957,70.32778218285165,D,West,true,2022-08-19,ok
118,77,92839.74936483943,94.02668336981372,B,North,false,2024-04-20,ok
119,85,57131.54598811792,66.40966558790464,C,North,true,2021-08-01,good
120,47,12619.901850109542,NaN,A,East,false,2021-12-25,good
121,46,26348.69277544255,72.68913452434474,A,North,true,2020-10-26,ok
122,41,22061.72499011978,73.29995025957648,B,East,true,2023-03-13,ok
123,34,27599.824525556138,90.38781362860655,C,North,true,2020-02-29,good
124,71,12595.00582424957,82.52666868871867,D,East,true,2021-03-30,ok
125,69,20507.453365229147,75.35306588724264,B,North,true,2023-07-26,great
126,75,6133.728607814495,NaN,D,North,true,2020-02-05,poor
127,30,24540.95813955779,NaN,C,North,true,2024-12-12,poor
128,53,31571.703474300884,60.40372700875378,A,North,true,2022-01-08,bad
129,33,18362.47519967494,56.10136087891713,C,East,false,2021-12-29,bad
130,82,6050.881770120546,64.15285295266348,C,North,true,2022-09-07,poor
131,37,48573.116105458525,49.34970778665537,B,West,true,2023-03-13,great
132,28,29484.501470644493,79.52726420221606,B,East,false,2022-04-19,bad
133,59,12322.571264423555,66.66665954351839,B,South,false,2024-06-03,great
134,81,17597.632281736376,47.93790558246013,C,West,true,2024-10-23,good
135,83,6630.692172291223,54.76631378188688,C,East,false,2021-01-01,ok
136,24,9697.970325255257,NaN,B,East,false,2023-07-15,bad
137,41,14324.84788837917,82.57189851841572,B,North,false,2021-07-03,poor
138,29,58849.38426365702,99.9509633753768,B,East,true,2024-12-24,good
139,40,13205.613552342285,113.70793699010994,B,East,true,2021-04-07,poor
140,56,36760.19670304306,76.21614149913995,B,West,true,2021-06-23,bad
141,38,14319.063462474573,55.15692819952204,B,South,false,2023-07-28,good
142,22,26859.048598160833,38.01930578903036,C,East,false,2023-12-12,great
143,54,19670.66263252042,74.01567193515754,A,South,false,2020-08-22,great
144,21,44286.9477781973,57.80588357034511,C,North,false,2022-10-12,good
145,34,14359.268905388739,63.76964109730472,A,North,true,2021-09-23,good
146,18,6260.262524262992,60.81854801410288,B,West,true,2023-01-22,good
147,24,7291.326535495434,67.88813670375423,D,East,false,2022-10-14,ok
148,49,14393.010774360915,85.98970346181466,D,South,false,2024-12-06,good
149,79,8109.17992864809,72.35572851168017,C,East,true,2024-09-01,great
150,73,30582.08357997232,67.62047744441968,C,North,true,2023-04-09,good
151,25,15174.709434701954,54.465193707612826,A,North,false,2023-05-26,great
152,20,147220.27889507604,44.87975582943464,B,East,true,2024-06-30,poor
153,42,5485.306900813238,62.70538136390004,C,East,true,2020-12-01,great
154,64,25923.53553474698,69.1932617377252,D,West,false,2023-08-18,poor
155,71,8934.161521777989,96.51894870369824,C,West,true,2023-11-11,poor
156,77,14842.929868016232,71.95411782209328,D,South,true,2020-08-20,good
157,42,24664.878278638742,84.74109266534586,B,West,false,2024-05-29,bad
158,30,3427.8992881520244,NaN,A,South,true,2023-07-01,great
159,19,26621.139399816537,52.22584350374463,A,West,false,2021-09-26,bad
160,28,100944.4828373782,55.523248566514425,C,North,true,2022-06-03,great
161,22,15325.131803240212,59.1216090319637,C,North,true,2022-06-13,great
162,79,27115.106458288108,101.92704598652747,B,North,true,2024-08-05,poor
163,37,50007.95413711773,57.679199811634206,D,West,false,2024-11-05,bad
164,77,19318.861935054563,82.57733805604518,C,North,true,2024-01-14,bad
165,57,13838.804552475758,56.4560923286946,B,West,false,2023-04-06,good
166,56,3566.752785731543,83.97359519311367,A,East,true,2020-07-09,bad
167,50,36783.055712143476,75.77426449158794,C,North,true,2024-07-29,bad
168,76,20119.912438015064,67.65043153512865,C,West,false,2020-09-01,ok
169,21,9797.209888716961,NaN,A,North,false,2020-10-31,ok
170,24,24374.124279411484,60.178184568559146,B,North,false,2020-05-07,poor
171,48,13808.722194294978,76.69108302223121,B,East,true,2024-09-27,great
172,46,14432.80609019528,63.1752477948883,C,South,true,2022-06-20,great
173,57,35776.013178886125,51.615913543491274,A,South,false,2021-03-07,good
174,71,7549.933776959232,50.83093638520571,D,North,true,2020-05-27,ok
175,60,50911.91333367041,72.58881876583179,B,East,true,2022-01-22,great
176,36,7200.1063051929095,93.68636884615653,B,North,false,2023-08-15,bad
177,41,12962.798410269708,72.39987420360157,A,North,false,2024-12-22,ok
178,72,102575.76294982777,68.22042510835176,D,East,true,2022-10-06,great
179,32,54278.517924653264,74.28739209403814,A,South,false,2023-01-14,great
180,54,23815.29246812841,NaN,D,East,false,2024-03-07,poor
181,56,10379.373802614708,73.29073752045784,B,North,true,2024-07-05,ok
182,72,14423.039245852384,63.83609153749394,D,East,false,2021-05-26,bad
183,69,23356.258371693442,86.59433065089833,A,West,false,2024-12-17,bad
184,51,22697.69339772726,76.4313465769242,A,South,true,2022-08-06,great
185,40,20482.031248670737,93.03633987993987,D,South,true,2024-08-26,ok
186,44,21489.80657144562,72.74851655832859,D,East,true,2020-08-02,ok
187,47,18555.099060607597,51.632964524192495,C,East,false,2020-06-27,good
188,33,6949.444529056485,49.477612011315024,A,North,true,2024-06-04,ok
189,63,14571.041895436972,94.76391898346874,D,East,true,2023-05-13,bad
190,33,45784.42483631017,95.85498581174946,B,North,true,2020-11-15,ok
191,64,7371.176174679672,67.307211800761,D,East,true,2024-06-23,poor
192,72,18927.205126820783,NaN,D,West,true,2020-07-06,great
193,87,11432.287374067146,91.92166438363303,D,East,false,2023-05-31,ok
194,26,24078.638172335286,53.39431476934768,C,West,false,2021-01-09,poor
195,72,16140.605476383507,56.579094715662606,C,South,true,2020-05-08,poor
196,24,71819.76042321927,79.64990192033567,C,West,true,2024-01-12,ok
197,42,33033.13816314035,64.08092315710616,A,West,true,2024-03-28,great
198,30,7712.189957288907,69.92317199919893,B,West,false,2020-07-12,bad
199,29,37683.68078480055,67.54835652213231,C,East,false,2020-06-19,poor
200,30,11852.315342025808,75.06361823198401,D,East,false,2023-01-27,bad
201,21,13882.757797395152,NaN,C,East,false,2020-02-22,bad
202,77,28312.401865090043,71.35877360352619,C,West,true,2023-09-25,good
203,22,14862.582089037198,79.65908189915287,A,West,true,2024-07-30,poor
204,46,44994.01019244336,39.24741848453466,B,South,true,2023-10-04,bad
205,68,11853.65989514463,69.26922397104823,C,North,false,2021-02-25,poor
206,89,13424.581664049658,57.35154594560693,D,North,true,2020-12-13,good
207,79,13028.613877737958,51.71780409364558,B,North,true,2023-05-28,ok
208,27,14009.472701331968,56.82771449606874,A,North,false,2020-04-22,ok
209,89,53069.2659735439,64.98814838948782,B,North,false,2022-09-09,ok
210,65,36425.96177201686,83.73853813534019,A,North,true,2022-03-30,good
211,30,86504.7983131386,50.10410923390654,C,West,false,2023-09-22,good
212,50,135146.5958055852,70.45947238891627,C,North,false,2021-01-04,bad
213,84,9656.88464287199,62.73745849999632,D,East,false,2023-10-24,ok
214,46,23302.951418690103,65.08490358457058,D,South,false,2023-07-01,great
215,31,8595.892455453597,85.04136737956907,A,North,true,2021-03-12,ok
216,81,11824.338344029658,78.07173155505889,A,East,false,2021-10-13,bad
217,86,13305.51635556419,90.06097161164115,B,West,false,2020-04-30,bad
218,88,9454.78366826284,67.68241481125149,A,West,false,2022-03-31,great
219,86,9494.710961738629,59.56086082493945,D,West,false,2021-04-21,ok
220,80,19625.254234360546,66.64211774679251,A,East,false,2020-07-26,poor
221,50,8321.728505403435,73.63745186906833,A,East,false,2022-10-19,ok
222,31,43204.57050272497,72.64860037680566,D,North,false,2022-11-02,ok
223,62,10570.233506581239,53.7341789164995,D,West,false,2020-06-06,good
224,33,208491.83860573758,71.35734672441811,A,East,false,2020-12-04,good
225,52,15350.332886981214,73.42342495208358,B,South,true,2020-05-30,poor
226,65,23332.770567425956,107.7621105630088,C,South,false,2023-05-25,bad
227,86,7814.428037733355,98.15266916922505,C,East,true,2021-09-09,ok
228,38,86238.62192679552,57.2013497416177,D,North,false,2020-05-10,ok
229,36,53938.54083208496,65.68924957676236,B,West,false,2020-12-15,good
230,70,27932.123812299025,48.04836997244495,A,South,false,2024-11-17,ok
231,18,7499.247498642666,61.139394790547705,B,North,false,2021-04-12,bad
232,58,26069.81738686312,74.73407505385511,C,South,true,2023-06-04,good
233,71,8980.898061874943,88.0878043133235,C,West,true,2022-05-05,ok
234,57,70960.89366133661,59.063742433845874,C,South,false,2020-11-28,ok
235,45,42081.17565044809,60.18780339898305,D,East,false,2021-07-15,good
236,77,23774.0809565423,37.79066455392018,D,West,false,2020-01-26,ok
237,44,3136.614992048548,67.56001119182639,B,North,false,2023-09-26,great
238,69,10029.311324895274,54.06378382210656,B,West,false,2021-09-03,bad
239,51,38185.414613354784,62.05840858950889,C,South,true,2022-07-01,poor
240,19,58122.43154141533,56.847088327486176,B,East,true,2020-10-06,great
241,56,53494.59229588397,NaN,B,North,false,2024-02-14,great
242,21,6163.435414348658,43.63407412965053,A,North,false,2021-02-03,good
243,85,28035.920597397355,47.99432131913514,B,West,false,2022-10-31,great
244,61,49633.04760410656,101.93870668042447,C,West,false,2024-05-13,bad
245,44,5844.939642667502,50.688661280889534,D,West,false,2023-07-27,great
246,53,21887.61843593155,53.548216323180405,D,East,false,2023-01-07,poor
247,62,27421.26040381256,NaN,B,South,false,2024-06-10,bad
248,36,17316.036771616826,113.5760075386061,A,North,true,2020-11-18,bad
249,38,5005.389523925181,52.426500567619875,A,South,false,2024-10-26,good
250,48,16974.05892383929,64.47626564817955,B,East,false,2022-10-14,great
251,36,16952.24675252851,75.12333326410764,C,South,true,2022-01-18,great
